===========================================
Solution 1
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(1, 3)
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(0, 3)
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(1, 3)
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(0, 3)
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(0, 2)
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(0, 1)
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(0, 2)
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(0, 3)
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(0, 2)
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(1, 2)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 2)
A:(3, 2), B:(1, 2), C:(2, 2), Agent:(2, 3)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 2)
A:(3, 2), B:(1, 2), C:(2, 2), Agent:(2, 3)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 2)
A:(3, 2), B:(1, 2), C:(2, 2), Agent:(2, 3)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 2)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 1)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 2)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 1)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(3, 1)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(3, 0)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 0)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(1, 0)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(0, 0)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(1, 0)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 0)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 1)
A:(3, 2), B:(1, 2), C:(2, 3), Agent:(2, 2)
A:(3, 2), B:(2, 2), C:(2, 3), Agent:(1, 2)
